Pulsar Jname,Frequency (MHz),Flux Density (mJy),Flux Density Uncertainty (mJy)
J0147+5922,4820.0,  2.490, 0.130
J0147+5922,4920.0,  0.910, 0.030
J0248+6021,4820.0,  3.100, 0.210
J0332+5434,4820.0, 10.000, 4.870
J0358+5413,4820.0,  7.220, 1.970
J0454+5543,4820.0,  2.000, 0.730
J0528+2200,4820.0,  0.280, 0.130
J0538+2817,4820.0,  0.670, 0.310
J0543+2329,4820.0,  1.820, 0.220
J0738-4042,4820.0,  8.060, 0.660
J0742-2822,4820.0,  2.650, 1.290
J0820-1350,4820.0,  0.470, 0.270
J0826+2637,4820.0,  1.150, 0.750
J0835-4510,4820.0, 73.020,37.830
J0837-4135,4820.0,  3.570, 1.730
J0953+0755,4820.0, 12.760, 2.550
J1012+5307,4820.0,  0.170, 0.040
J1136+1559,4820.0,  2.190, 1.050
J1239+2453,4820.0,  0.820, 0.270
J1509+5531,4820.0,  0.540, 0.070
J1518+4904,4820.0,  0.300, 0.160
J1559-4438,5124.0,  1.590, 0.320
J1600-3053,4820.0,  0.270, 0.040
J1643-1224,4820.0,  0.680, 0.140
J1644-4559,5124.0, 30.000, 6.000
J1645-0317,4820.0,  1.630, 0.500
J1651-4246,5124.0,  1.150, 0.230
J1703-3241,5124.0,  0.720, 0.140
J1705-1906,5124.0,  2.430, 0.500
J1705-3423,4920.0,  1.010, 0.200
J1707-4053,5124.0,  0.550, 0.110
J1709-4429,5124.0,  3.510, 0.700
J1713+0747,4820.0,  1.420, 0.640
J1721-3532,5124.0,  6.030, 1.200
J1721-3532,4820.0, 12.250, 1.340
J1730-3350,4920.0,  0.830, 0.170
J1739-2903,4920.0,  1.220, 0.240
J1740-3015,5124.0,  2.290, 0.460
J1744-1134,4820.0,  0.360, 0.020
J1745-3040,4820.0,  2.820, 0.860
J1752-2806,4820.0,  1.760, 0.770
J1803-2137,4920.0,  8.620, 1.720
J1807-0847,4820.0,  1.900, 0.090
J1809-1917,4920.0,  3.560, 0.710
J1818-1422,5124.0,  0.790, 0.160
J1820-0427,4920.0,  0.570, 0.110
J1825-0935,4820.0,  2.240, 0.880
J1826-1334,4920.0,  4.590, 0.920
J1829-1751,5124.0,  1.630, 0.330
J1830-1059,4920.0,  0.560, 0.110
J1833-0827,4920.0,  2.020, 0.400
J1835-1106,4920.0,  0.380, 0.080
J1844+00  ,5124.0,  0.400, 0.030
J1844+00  ,4820.0,  0.460, 0.030
J1848-0123,5124.0,  1.240, 0.250
J1853+0545,4920.0,  0.970, 0.190
J1900-2600,4820.0,  0.890, 0.160
J1909+1102,4920.0,  0.530, 0.110
J1932+1059,4820.0,  7.910, 2.060
J1935+1616,4820.0,  3.050, 0.740
J1937+2544,4920.0,  3.580, 0.720
J1939+2134,4820.0,  0.480, 0.020
J1946+1805,4920.0,  2.580, 0.520
J1948+3540,5124.0,  0.400, 0.080
J1954+2923,4920.0,  1.460, 0.290
J1955+5059,4920.0,  0.750, 0.150
J1955+5059,4820.0,  0.740, 0.250
J2018+2839,4820.0,  1.470, 0.290
J2022+2854,4820.0,  1.940, 1.160
J2022+5154,4820.0,  5.440, 1.210
J2145-0750,5124.0,  1.770, 0.350
J2257+5909,4820.0,  0.450, 0.030
J2321+6024,4820.0,  2.190, 0.640
J2330-2005,4920.0,  0.150, 0.040
J2354+6155,4920.0,  1.150, 0.230
