PSRJ,FREQ,BW,S154,S154_ERR
J0030+0451,154.24,30.72,93.0,28.0
J0034-0534,154.24,30.72,190.0,60.0
J0125-2327,154.24,30.72,20.0,6.0
J0407+1607,154.24,30.72,65.0,19.0
J0437-4715,154.24,30.72,400.0,120.0
J0621+1002,154.24,30.72,44.0,18.0
J0711-6830,154.24,30.72,13.0,4.0
J0737-3039A,154.24,30.72,130.0,50.0
J0952-0607,154.24,30.72,17.0,5.0
J1022+1001,154.24,30.72,46.0,14.0
J1024-0719,154.24,30.72,16.0,5.0
J1038+0032,154.24,30.72,19.0,6.0
J1231-1411,154.24,30.72,21.0,6.0
J1300+1240,154.24,30.72,50.0,15.0
J1400-1431,154.24,30.72,47.0,14.0
J1455-3330,154.24,30.72,130.0,40.0
J1536-4948,154.24,30.72,250.0,100.0
J1543-5149,154.24,30.72,220.0,90.0
J1603-7202,154.24,30.72,52.0,16.0
J1623-2631,154.24,30.72,22.0,7.0
J1730-2304,154.24,30.72,55.0,22.0
J1744-1134,154.24,30.72,48.0,19.0
J1757-5322,154.24,30.72,40.0,12.0
J1804-2717,154.24,30.72,86.0,35.0
J1843-1113,154.24,30.72,120.0,50.0
J1911-1114,154.24,30.72,81.0,32.0
J1918-0642,154.24,30.72,39.0,15.0
J1939+2134,154.24,30.72,71.0,28.0
J1944+0907,154.24,30.72,45.0,18.0
J1959+2048,154.24,30.72,100.0,40.0
J2039-3616,154.24,30.72,16.0,5.0
J2051-0827,154.24,30.72,61.0,18.0
J2129-5721,154.24,30.72,11.2,3.4
J2145-0750,154.24,30.72,500.0,150.0
J2150-0326,154.24,30.72,22.0,7.0
J2222-0137,154.24,30.72,27.0,8.0
J2234+0944,154.24,30.72,11.6,3.5
J2241-5236,154.24,30.72,82.0,24.0
J2256-1024,154.24,30.72,82.0,25.0
J2317+1439,154.24,30.72,21.0,6.0
