J1002-5919,0.17,0.085
J1101-6424,0.27,0.135
J1151-6108,0.06,0.03
J1244-6359,0.15,0.075
J1248-6444,0.15,0.075
J1255-62,0.13,0.065
J1525-5523,0.21,0.105
J1528-5547,0.07,0.035
J1532-56,0.1,0.05
J1538-5621,0.14,0.07
J1612-49,0.16,0.08
J1612-55,0.11,0.055
J1616-5017,0.17,0.085
J1622-4845,0.15,0.075
J1627-49,0.13,0.065
J1627-51,0.08,0.04
J1634-49,0.13,0.065
J1638-44,0.15,0.075
J1649-3935,0.05,0.025
J1658-47,0.18,0.09
J1708-3641,0.12,0.06
J1710-37,0.1,0.05
J1718-41,0.07,0.035
J1720-36,0.08,0.04
J1723-38,0.08,0.04
J1730-34,0.03,0.015
J1731-3322,0.1,0.05
J1732-35,0.13,0.065
J1734-3058,0.11,0.055
J1738-2736,0.17,0.085
J1741-34,0.2,0.1
J1743-35,0.05,0.025
J1746-27,0.15,0.075
J1748-30,0.16,0.08
J1750-28,0.09,0.045
J1755-25,0.14,0.07
J1755-26,0.14,0.07
J1756-25,0.2,0.1
J1757-27,0.07,0.035
J1759-24,0.5,0.25
J1811-1717,0.2,0.1
J1819-17,0.14,0.07
J1824-1350,0.08,0.04
J1825-1108,0.13,0.065
J1829-1011,0.25,0.125
J1830-10,0.1,0.05
J1833-0209,0.06,0.03
J1834-09,0.17,0.085
J1836-11,0.12,0.06
J1838-0107,0.05,0.025
J1839-0223,0.11,0.055
J1842-0800,0.1,0.05
J1843-0510,0.07,0.035
J1844-0302,0.12,0.06
